CODFILIAL;NUMPED;CNPJ_FORNECEDOR;FORNECEDOR;COD_CLIENTE;CNPJ_CLIENTE;CLIENTE;ESTADO;TOTAL_FATURADO;VALOR_DEVOLVIDO
1;1344007873;795345;DINNO BABY - DIST DE COSMET BY FATTORE LTDA - EPP;104011;104011,0;JESUS ALVES BITU NETO;CE;85,26;
3;452022950;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;96259;96259,0;R F GOMES DE MACEDO;CE;27222,56;
2;429027942;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;118828;118828,0;ERIC NICOLAS CASTRO SILVA & CIA LTDA;PI;9927,62;
1;1809000149;789423;KLEY HERTZ DISTRIBUIDORA LTDA;120212;93179,0;COMERCIAL DE MEDICAMENTOS COMPLEXO PHARMA LTDA;CE;612,57;
9;2365006640;793261;FARMAX DISTRIBUIDORA S.A;101962;101962,0;JARDEL DE ANDRADE SILVA LTDA ME;PE;6076,31;
7;1492015603;47252;HYPERA S.A;180;180,0;FARMACIA CAIRES SILVA LTDA;BA;924,13;
1;520037579;793261;FARMAX DISTRIBUIDORA S.A;91312;91312,0;A R DE OLIVEIRA - ME;CE;11953,31;
5;2660003220;31267;MEDQUIMICA IND FARMACEUTICA S.;137395;131423,0;MAIS FRALDAS LTDA;MA;1642,7;
1;131069387;47252;HYPERA S.A;96838;96838,0;FARMACIA POPULAR DA FAMILIA LTDA;CE;2829,51;
7;1166017745;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;97931;1007,0;ANDRE PAULO CASTRO NOVAIS & CIA LTDA;BA;985,56;
2;1137064085;47252;HYPERA S.A;58602;58602,0;FARMACIA INA LTDA;PI;6114,24;
3;890013883;794319;EUROFRAL PRODUTOS DE HIGIENE LTDA;81009;81009,0;FARMACIA JACQUELINE LTDA;CE;1776,78;
3;634021743;792121;GIOVANNA BABY - PRO NOVA DIST E COM DE COSMETICOS LTDA;87063;97835,0;FARMACIA THEBERGE LTDA;CE;1013,66;
5;353049019;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;98713;95647,0;METTA DROGARIAS LTDA;MA;3272,76;
7;2673000520;796369;MYRALIS INDUSTRIA FARMACEUTICA LTDA;7565;7565,0;FARMACIA AVENIDA DE MILAGRES LTDA;BA;837,32;
3;443041581;789603;SOFTYS BRASIL LTDA;90102;84005,0;BUENO EMPEENDIMENTOS FARM. FILIAL 1;CE;695,3;
2;1293034765;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;123531;123531,0;W A DA SILVA DROGARIA;PI;1935,44;
7;1166017726;789603;SOFTYS BRASIL LTDA;10508;10508,0;GLAUBER ROCHA CARVALHO;BA;2599,48;
3;1937006930;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;80753;80753,0;NUNES BOTAO MEDICAMENTOS LTDA ME;CE;447,84;
3;2081003394;794671;PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;128501;128501,0;NAIANE MONTEIRO DE SOUSA LTDA;CE;2152,59;
1;953054130;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;136121;96743,0;COMERCIO DE MEDICAMENTOS JOSE WALTER LTDA;CE;186,19;
1;131069453;33057;NATULAB LABORATORIO LTDA;136872;136872,0;A CAROLINE DOS SANTOS RIBEIRO LTDA;CE;884,87;
1;1064024376;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;91409;91409,0;ANTONIO SAMUEL F. RODRIGUES ME;CE;657,88;
1;285192458;47252;HYPERA S.A;96315;96315,0;FARMACIA MAIS SAUDE LTDA;CE;3273,09;
2;631000720;789603;SOFTYS BRASIL LTDA;130648;63894,0;R. P. ELVAS & DIOGENES LTDA;PI;50755,31;
7;4830881939;789603;SOFTYS BRASIL LTDA;132287;3843,0;DROGARIA SILVA ROCHA LTDA;BA;1602,0;
1;1063031957;47252;HYPERA S.A;121256;121256,0;CONCEITO PHARMA  EIRELI  ME;CE;251,78;
9;2541004880;793261;FARMAX DISTRIBUIDORA S.A;101204;102068,0;REDE IDEIA FARMA LTDA;PE;1018,35;
3;1045005528;30307;CCM IND E COM DE PROD DESCARTAVEIS S/A;122141;87995,0;SUPERMERCADO MORANGUINHO LTDA;CE;2546,0;
3;1298033346;30083;LOLLY BABY PRODUTOS INFANTIS L;90600;85007,0;FARMANOSSA COMERCIO DE MEDICAMENTOS LTDA ME;CE;758,0;
7;2131006707;793718;BIOLAB FARMA GENERICOS LTDA;136833;122183,0;UDIFARMA LOJA VI LTDA;BA;2697,33;
1;483087102;789326;JRD IND.FARMACEUTICA LTDA;124108;124108,0;EMILIA ABRANTES GONCALVES  ME;CE;1230,96;
5;1890003567;139553;CCM IND E COM DE PROD DESCART S/A - DINNO/PLENTY;126226;96359,0;COMERCIO DE MEDICAMENTOS FENIX LTDA;MA;6241,89;
1;1063032000;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;80657;80657,0;RICARDO FARMA COMERCIO DE MEDICAMENTOS LTDA;CE;268,51;
1;1117031826;796144;BRACELL PAPEIS NORDESTE LTDA;123470;119544,0;N FARMACIA NOGUEIRA LTDA  ME;CE;1599,2;
1;89095370;792141;GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;136697;90200,0;COMERCIO VAREJISTA DE PRODUTOS F SAPIRANGA LTDA;CE;302,21;
1;1465027989;47252;HYPERA S.A;89086;89086,0;M A NEVES COMERCIAL DE MEDICAMENTOS LTDA ME;CE;436,81;
1;1465027978;31267;MEDQUIMICA IND FARMACEUTICA S.;89876;89876,0;RAIMUNDO IVAN ROCHA GIFFONI FI;CE;6394,04;
9;2146013800;793186;ACCUMED PRODUTOS MEDICO HOSPITALARES LTDA;102547;102547,0;DANILO DE L SILVA ME;PE;744,4;
9;2510008083;789603;SOFTYS BRASIL LTDA;102106;102104,0;OSIEL BARBOZA DA SILVA FARMACIA;PE;1497,87;
1;1993010803;794468;CELLERA CONSUMO LTDA (ES);85693;85693,0;(TF)DROG. N. S. DA ROSA MISTICA;CE;903,69;
3;2539000551;30105;ALYNE - CIGEL DISTRIBUIDORA DE COSMETI;103931;103931,0;OLIVEIRA & QUEIROGA LTDA;CE;489,02;
1;530088964;47252;HYPERA S.A;90858;85007,0;FARMACIA GOTA MAIS FILIAL 06;CE;1481,14;
1;657044217;47252;HYPERA S.A;80844;80844,0;M R BOTAO NOGUEIRA;CE;332,0;
